time[s],flux[W/m2],phi[deg],theta[deg]
0,1336,179.3629774,31.53979036
100,0,174.8594125,176.249088
200,0,169.1901557,178.2112389
300,0,163.51692,178.8195709
400,0,157.8427549,179.1136014
500,0,152.1703772,179.2785905
600,0,146.4959769,179.3914632
700,0,140.821145,179.469251
800,0,135.1484052,179.5208618
900,0,129.4734361,179.5627489
1000,0,123.7984167,179.594142
1100,1336,118.1233539,179.6176843
1200,1336,112.4507482,179.6319255
1300,1336,106.7756118,179.6444785
1400,1336,101.1004412,179.6527772
1500,1336,95.42523816,179.6573174
1600,1336,89.75219529,179.6552556
1700,1336,84.07724758,179.6531664
1800,1336,78.40196051,179.6474027
1900,1336,72.72884612,179.6346881
2000,1336,67.05351672,179.6209585
2100,1336,61.37817109,179.6022852
2200,1336,55.70281475,179.5775151
2300,1336,50.02997355,179.541127
2400,1336,44.35462457,179.4975114
2500,1336,38.67929941,179.438705
2600,1336,33.00402373,179.357072
2700,1336,27.33107025,179.2318427
2800,1336,21.65639444,179.0466208
2900,1336,15.98181428,178.7242909
3000,1336,10.31062689,178.0228521
3100,1336,4.642429699,175.6296476
3200,1336,1.104584931,18.64242692
3300,1336,6.731488492,3.011945665
3400,1336,12.40042379,1.656790282
3500,1336,18.07440842,1.146807038
3600,1336,23.74915101,0.8837346209
3700,1336,29.42420492,0.7247870935
3800,1336,35.09724767,0.6249871404
3900,1336,40.7722135,0.5501120659
4000,1336,46.44753689,0.4957663427
4100,1336,52.12070487,0.4590805883
4200,1336,57.79605096,0.4280135951
4300,1336,63.47139304,0.404410693
4400,1336,69.14672391,0.3866771149
4500,1336,74.81953965,0.3767707239
4600,1336,80.4948313,0.3679405718
4700,1336,86.17009898,0.3628794437
4800,1336,91.84534001,0.361388336
4900,1336,97.51835883,0.3666148316
5000,1336,103.1932253,0.3722373147
5100,1336,108.8683713,0.3821968055
5200,1336,114.5412821,0.4003321643
5300,1336,120.2163519,0.4208458791
5400,0,125.8913792,0.4484729309
5500,0,131.5663582,0.4853492524
5600,0,137.2387559,0.5390979983
5700,0,142.913599,0.6071008445
5800,0,148.588339,0.7027392872
5900,0,154.2629205,0.8439317037
6000,0,159.9349775,1.077958956
6100,0,165.608664,1.488803095
6200,0,171.2802886,2.440567891
6300,1336,90.58721952,124.746403
6400,1336,87.35791198,124.6618154
6500,1336,84.14243709,124.3132847
6600,1336,80.96644512,123.6972828
6700,1336,77.85248945,122.8084975
6800,1336,74.82770914,121.6414544
6900,1336,71.91021979,120.1847487
7000,1336,69.1300304,118.4320074
7100,1336,66.51877239,116.3783439
7200,1336,64.10058697,114.0145738
7300,1336,61.91032911,111.3439143
7400,1336,59.9804483,108.3749726
7500,1336,58.3451128,105.1304436
