time[s],flux[W/m2],phi[deg],theta[deg]
0.0,1336.0,90.5872195198744,124.74640298830093
100.0,1336.0,87.35791198205166,124.6618153706871
200.0,1336.0,84.14243708781468,124.31328468266707
300.0,1336.0,80.96644512450622,123.69728275715512
400.0,1336.0,77.85248944918602,122.80849747901131
500.0,1336.0,74.82770913677247,121.64145441139846
600.0,1336.0,71.91021979384541,120.18474870896056
700.0,1336.0,69.13003040323797,118.43200743842787
800.0,1336.0,66.51877238703818,116.3783438823449
900.0,1336.0,64.10058697458214,114.01457380571846
1000.0,1336.0,61.91032911003212,111.34391427313643
1100.0,1336.0,59.98044829501932,108.37497260918319
1200.0,1336.0,58.34511279717442,105.13044358594259
1300.0,1336.0,57.030174873517225,101.63429613634418
1400.0,1336.0,56.064698617383925,97.93483027310437
1500.0,1336.0,55.46975536604288,94.08986983930335
1600.0,1336.0,55.258970364363655,90.17230067573465
1700.0,1336.0,55.43730637006692,86.24699959890039
1800.0,1336.0,56.00020641905253,82.39291576604015
1900.0,1336.0,56.93370008696348,78.68323460356957
2000.0,1336.0,58.219607159630435,75.16799740698501
2100.0,1336.0,59.83069954320979,71.89764534945976
2200.0,1336.0,61.736888376979415,68.90458755859399
2300.0,1336.0,63.9036511196654,66.21192788890622
2400.0,1336.0,66.303194811722,63.82216283435576
2500.0,1336.0,68.90156039510063,61.740361146947585
2600.0,1336.0,71.66833195529908,59.96263159226353
2700.0,1336.0,74.57129309294953,58.483484278265976
2800.0,1336.0,77.59061323853956,57.2915956914347
2900.0,1336.0,80.69744685556995,56.37984058256674
3000.0,1336.0,83.86440317818376,55.74191866499345
3100.0,1336.0,87.07638207591768,55.370957478931444
3200.0,1336.0,90.30778045612638,55.26446288691949
3300.0,1336.0,93.53708359855003,55.42144639822819
3400.0,1336.0,96.73891546411716,55.84300657163298
3500.0,1336.0,99.89897399289386,56.53325900252274
3600.0,1336.0,102.99060563080988,57.498019997778655
3700.0,1336.0,105.98980854700021,58.74473449843739
3800.0,1336.0,108.86779187624268,60.2796885794164
3900.0,1336.0,111.60389518650426,62.11511163835219
4000.0,1336.0,114.16606708689805,64.25516216429155
4100.0,1336.0,116.52081197015063,66.7000940618759
4200.0,1336.0,118.64168321338884,69.452989135447
4300.0,851.897728,120.4933489377842,72.49989037103394
4400.0,0.0,122.04404352419533,75.81868366486076
4500.0,0.0,123.26274886486912,79.37020236902735
4600.0,0.0,124.12767425645762,83.11409793777023
4700.0,0.0,124.61770933358139,86.9854781210033
4800.0,0.0,124.72149761364855,90.91402805887849
4900.0,0.0,124.43721580138498,94.82043621682222
5000.0,0.0,123.77039719481081,98.6405016384496
5100.0,0.0,122.73714769768051,102.30331083861851
5200.0,0.0,121.36123834166845,105.74946237658007
5300.0,1336.0,119.66677716199892,108.94488006672381
5400.0,1336.0,117.68601886282059,111.85658888177052
5500.0,1336.0,115.4512318854989,114.46785563739547
5600.0,1336.0,112.99759831761801,116.76890876685954
5700.0,1336.0,110.35113994454275,118.76596471447336
5800.0,1336.0,107.54436381424284,120.46078699624533
5900.0,1336.0,104.60544885555828,121.86088314702728
6000.0,1336.0,101.56445673347979,122.97356163083292
6100.0,1336.0,98.43889658525117,123.8093563130494
6200.0,1336.0,95.25569367280039,124.37323533153345
6300.0,1336.0,90.5872195198744,124.74640298830093
6400.0,1336.0,87.35791198205166,124.6618153706871
6500.0,1336.0,84.14243708781468,124.31328468266707
6600.0,1336.0,80.96644512450622,123.69728275715512
6700.0,1336.0,77.85248944918602,122.80849747901131
6800.0,1336.0,74.82770913677247,121.64145441139846
6900.0,1336.0,71.91021979384541,120.18474870896056
7000.0,1336.0,69.13003040323797,118.43200743842787
7100.0,1336.0,66.51877238703818,116.3783438823449
7200.0,1336.0,64.10058697458214,114.01457380571846
7300.0,1336.0,61.91032911003212,111.34391427313643
7400.0,1336.0,59.98044829501932,108.37497260918319
7500.0,1336.0,58.34511279717442,105.13044358594259
7600.0,1336.0,57.030174873517225,101.63429613634418
7700.0,1336.0,56.064698617383925,97.93483027310437
7800.0,1336.0,55.46975536604288,94.08986983930335
7900.0,1336.0,55.258970364363655,90.17230067573465
8000.0,1336.0,55.43730637006692,86.24699959890039
8100.0,1336.0,56.00020641905253,82.39291576604015
8200.0,1336.0,56.93370008696348,78.68323460356957
8300.0,1336.0,58.219607159630435,75.16799740698501
8400.0,1336.0,59.83069954320979,71.89764534945976
8500.0,1336.0,61.736888376979415,68.90458755859399
8600.0,1336.0,63.9036511196654,66.21192788890622
8700.0,1336.0,66.303194811722,63.82216283435576
8800.0,1336.0,68.90156039510063,61.740361146947585
8900.0,1336.0,71.66833195529908,59.96263159226353
9000.0,1336.0,74.57129309294953,58.483484278265976
9100.0,1336.0,77.59061323853956,57.2915956914347
9200.0,1336.0,80.69744685556995,56.37984058256674
9300.0,1336.0,83.86440317818376,55.74191866499345
9400.0,1336.0,87.07638207591768,55.370957478931444
9500.0,1336.0,90.30778045612638,55.26446288691949
9600.0,1336.0,93.53708359855003,55.42144639822819
9700.0,1336.0,96.73891546411716,55.84300657163298
9800.0,1336.0,99.89897399289386,56.53325900252274
9900.0,1336.0,102.99060563080988,57.498019997778655
10000.0,1336.0,105.98980854700021,58.74473449843739
10100.0,1336.0,108.86779187624268,60.2796885794164
10200.0,1336.0,111.60389518650426,62.11511163835219
10300.0,1336.0,114.16606708689805,64.25516216429155
10400.0,1336.0,116.52081197015063,66.7000940618759
10500.0,1336.0,118.64168321338884,69.452989135447
10600.0,851.897728,120.4933489377842,72.49989037103394
10700.0,0.0,122.04404352419533,75.81868366486076
10800.0,0.0,123.26274886486912,79.37020236902735
10900.0,0.0,124.12767425645762,83.11409793777023
11000.0,0.0,124.61770933358139,86.9854781210033
11100.0,0.0,124.72149761364855,90.91402805887849
11200.0,0.0,124.43721580138498,94.82043621682222
11300.0,0.0,123.77039719481081,98.6405016384496
11400.0,0.0,122.73714769768051,102.30331083861851
11500.0,0.0,121.36123834166845,105.74946237658007
11600.0,1336.0,119.66677716199892,108.94488006672381
11700.0,1336.0,117.68601886282059,111.85658888177052
11800.0,1336.0,115.4512318854989,114.46785563739547
11900.0,1336.0,112.99759831761801,116.76890876685954
12000.0,1336.0,110.35113994454275,118.76596471447336
12100.0,1336.0,107.54436381424284,120.46078699624533
12200.0,1336.0,104.60544885555828,121.86088314702728
12300.0,1336.0,101.56445673347979,122.97356163083292
12400.0,1336.0,98.43889658525117,123.8093563130494
12500.0,1336.0,95.25569367280039,124.37323533153345
12600.0,1336.0,90.5872195198744,124.74640298830093
12700.0,1336.0,87.35791198205166,124.6618153706871
12800.0,1336.0,84.14243708781468,124.31328468266707
12900.0,1336.0,80.96644512450622,123.69728275715512
13000.0,1336.0,77.85248944918602,122.80849747901131
13100.0,1336.0,74.82770913677247,121.64145441139846
13200.0,1336.0,71.91021979384541,120.18474870896056
13300.0,1336.0,69.13003040323797,118.43200743842787
13400.0,1336.0,66.51877238703818,116.3783438823449
13500.0,1336.0,64.10058697458214,114.01457380571846
13600.0,1336.0,61.91032911003212,111.34391427313643
13700.0,1336.0,59.98044829501932,108.37497260918319
13800.0,1336.0,58.34511279717442,105.13044358594259
13900.0,1336.0,57.030174873517225,101.63429613634418
14000.0,1336.0,56.064698617383925,97.93483027310437
14100.0,1336.0,55.46975536604288,94.08986983930335
14200.0,1336.0,55.258970364363655,90.17230067573465
14300.0,1336.0,55.43730637006692,86.24699959890039
14400.0,1336.0,56.00020641905253,82.39291576604015
14500.0,1336.0,56.93370008696348,78.68323460356957
14600.0,1336.0,58.219607159630435,75.16799740698501
14700.0,1336.0,59.83069954320979,71.89764534945976
14800.0,1336.0,61.736888376979415,68.90458755859399
14900.0,1336.0,63.9036511196654,66.21192788890622
15000.0,1336.0,66.303194811722,63.82216283435576
15100.0,1336.0,68.90156039510063,61.740361146947585
15200.0,1336.0,71.66833195529908,59.96263159226353
15300.0,1336.0,74.57129309294953,58.483484278265976
15400.0,1336.0,77.59061323853956,57.2915956914347
15500.0,1336.0,80.69744685556995,56.37984058256674
15600.0,1336.0,83.86440317818376,55.74191866499345
15700.0,1336.0,87.07638207591768,55.370957478931444
15800.0,1336.0,90.30778045612638,55.26446288691949
15900.0,1336.0,93.53708359855003,55.42144639822819
16000.0,1336.0,96.73891546411716,55.84300657163298
16100.0,1336.0,99.89897399289386,56.53325900252274
16200.0,1336.0,102.99060563080988,57.498019997778655
16300.0,1336.0,105.98980854700021,58.74473449843739
16400.0,1336.0,108.86779187624268,60.2796885794164
16500.0,1336.0,111.60389518650426,62.11511163835219
16600.0,1336.0,114.16606708689805,64.25516216429155
16700.0,1336.0,116.52081197015063,66.7000940618759
16800.0,1336.0,118.64168321338884,69.452989135447
16900.0,851.897728,120.4933489377842,72.49989037103394
17000.0,0.0,122.04404352419533,75.81868366486076
17100.0,0.0,123.26274886486912,79.37020236902735
17200.0,0.0,124.12767425645762,83.11409793777023
17300.0,0.0,124.61770933358139,86.9854781210033
17400.0,0.0,124.72149761364855,90.91402805887849
17500.0,0.0,124.43721580138498,94.82043621682222
17600.0,0.0,123.77039719481081,98.6405016384496
17700.0,0.0,122.73714769768051,102.30331083861851
17800.0,0.0,121.36123834166845,105.74946237658007
17900.0,1336.0,119.66677716199892,108.94488006672381
18000.0,1336.0,117.68601886282059,111.85658888177052
18100.0,1336.0,115.4512318854989,114.46785563739547
18200.0,1336.0,112.99759831761801,116.76890876685954
18300.0,1336.0,110.35113994454275,118.76596471447336
18400.0,1336.0,107.54436381424284,120.46078699624533
18500.0,1336.0,104.60544885555828,121.86088314702728
18600.0,1336.0,101.56445673347979,122.97356163083292
18700.0,1336.0,98.43889658525117,123.8093563130494
18800.0,1336.0,95.25569367280039,124.37323533153345
18900.0,1336.0,90.5872195198744,124.74640298830093
19000.0,1336.0,87.35791198205166,124.6618153706871
19100.0,1336.0,84.14243708781468,124.31328468266707
19200.0,1336.0,80.96644512450622,123.69728275715512
19300.0,1336.0,77.85248944918602,122.80849747901131
19400.0,1336.0,74.82770913677247,121.64145441139846
19500.0,1336.0,71.91021979384541,120.18474870896056
19600.0,1336.0,69.13003040323797,118.43200743842787
19700.0,1336.0,66.51877238703818,116.3783438823449
19800.0,1336.0,64.10058697458214,114.01457380571846
19900.0,1336.0,61.91032911003212,111.34391427313643
20000.0,1336.0,59.98044829501932,108.37497260918319
20100.0,1336.0,58.34511279717442,105.13044358594259
20200.0,1336.0,57.030174873517225,101.63429613634418
20300.0,1336.0,56.064698617383925,97.93483027310437
20400.0,1336.0,55.46975536604288,94.08986983930335
20500.0,1336.0,55.258970364363655,90.17230067573465
20600.0,1336.0,55.43730637006692,86.24699959890039
20700.0,1336.0,56.00020641905253,82.39291576604015
20800.0,1336.0,56.93370008696348,78.68323460356957
20900.0,1336.0,58.219607159630435,75.16799740698501
21000.0,1336.0,59.83069954320979,71.89764534945976
21100.0,1336.0,61.736888376979415,68.90458755859399
21200.0,1336.0,63.9036511196654,66.21192788890622
21300.0,1336.0,66.303194811722,63.82216283435576
21400.0,1336.0,68.90156039510063,61.740361146947585
21500.0,1336.0,71.66833195529908,59.96263159226353
21600.0,1336.0,74.57129309294953,58.483484278265976
21700.0,1336.0,77.59061323853956,57.2915956914347
21800.0,1336.0,80.69744685556995,56.37984058256674
21900.0,1336.0,83.86440317818376,55.74191866499345
22000.0,1336.0,87.07638207591768,55.370957478931444
22100.0,1336.0,90.30778045612638,55.26446288691949
22200.0,1336.0,93.53708359855003,55.42144639822819
22300.0,1336.0,96.73891546411716,55.84300657163298
22400.0,1336.0,99.89897399289386,56.53325900252274
22500.0,1336.0,102.99060563080988,57.498019997778655
22600.0,1336.0,105.98980854700021,58.74473449843739
22700.0,1336.0,108.86779187624268,60.2796885794164
22800.0,1336.0,111.60389518650426,62.11511163835219
22900.0,1336.0,114.16606708689805,64.25516216429155
23000.0,1336.0,116.52081197015063,66.7000940618759
23100.0,1336.0,118.64168321338884,69.452989135447
23200.0,851.897728,120.4933489377842,72.49989037103394
23300.0,0.0,122.04404352419533,75.81868366486076
23400.0,0.0,123.26274886486912,79.37020236902735
23500.0,0.0,124.12767425645762,83.11409793777023
23600.0,0.0,124.61770933358139,86.9854781210033
23700.0,0.0,124.72149761364855,90.91402805887849
23800.0,0.0,124.43721580138498,94.82043621682222
23900.0,0.0,123.77039719481081,98.6405016384496
24000.0,0.0,122.73714769768051,102.30331083861851
24100.0,0.0,121.36123834166845,105.74946237658007
24200.0,1336.0,119.66677716199892,108.94488006672381
24300.0,1336.0,117.68601886282059,111.85658888177052
24400.0,1336.0,115.4512318854989,114.46785563739547
24500.0,1336.0,112.99759831761801,116.76890876685954
24600.0,1336.0,110.35113994454275,118.76596471447336
24700.0,1336.0,107.54436381424284,120.46078699624533
24800.0,1336.0,104.60544885555828,121.86088314702728
24900.0,1336.0,101.56445673347979,122.97356163083292
25000.0,1336.0,98.43889658525117,123.8093563130494
25100.0,1336.0,95.25569367280039,124.37323533153345
25200.0,1336.0,90.5872195198744,124.74640298830093
25300.0,1336.0,87.35791198205166,124.6618153706871
25400.0,1336.0,84.14243708781468,124.31328468266707
25500.0,1336.0,80.96644512450622,123.69728275715512
25600.0,1336.0,77.85248944918602,122.80849747901131
25700.0,1336.0,74.82770913677247,121.64145441139846
25800.0,1336.0,71.91021979384541,120.18474870896056
25900.0,1336.0,69.13003040323797,118.43200743842787
26000.0,1336.0,66.51877238703818,116.3783438823449
26100.0,1336.0,64.10058697458214,114.01457380571846
26200.0,1336.0,61.91032911003212,111.34391427313643
26300.0,1336.0,59.98044829501932,108.37497260918319
26400.0,1336.0,58.34511279717442,105.13044358594259
26500.0,1336.0,57.030174873517225,101.63429613634418
26600.0,1336.0,56.064698617383925,97.93483027310437
26700.0,1336.0,55.46975536604288,94.08986983930335
26800.0,1336.0,55.258970364363655,90.17230067573465
26900.0,1336.0,55.43730637006692,86.24699959890039
27000.0,1336.0,56.00020641905253,82.39291576604015
27100.0,1336.0,56.93370008696348,78.68323460356957
27200.0,1336.0,58.219607159630435,75.16799740698501
27300.0,1336.0,59.83069954320979,71.89764534945976
27400.0,1336.0,61.736888376979415,68.90458755859399
