time[s],flux[W/m2],phi[deg],theta[deg]
0,1336,92.20952014,148.4865372
100,1336,87.3701315,148.4754989
200,1336,82.54157712,148.2125169
300,1336,77.72975933,147.6882218
400,1336,72.95303393,146.8850691
500,1336,68.22800685,145.7752925
600,1336,63.57794344,144.3208425
700,1336,59.01978784,142.4660101
800,1336,54.58763678,140.1420923
900,1336,50.32385631,137.2627232
1000,1336,46.27280936,133.7136633
1100,1336,42.50437299,129.3690248
1200,1336,39.1044592,124.0935493
1300,1336,36.1826254,117.7781858
1400,1336,33.8608126,110.3719212
1500,1336,32.27388936,101.9850149
1600,1336,31.5345414,92.93511673
1700,1336,31.70176216,83.70191686
1800,1336,32.76235895,74.84106023
1900,1336,34.63353226,66.78909904
2000,1336,37.18940712,59.78318966
2100,1336,40.30163495,53.85569734
2200,1336,43.84801799,48.93673563
2300,1336,47.72578351,44.90223015
2400,1336,51.86273112,41.61140845
2500,1336,56.19553051,38.94568776
2600,1336,60.6743718,36.80442447
2700,1336,65.27068394,35.102859
2800,1336,69.95307654,33.77932637
2900,1336,74.69920429,32.78590577
3000,1336,79.48688506,32.0880156
3100,1336,84.30787177,31.66083057
3200,1336,89.14435687,31.49054585
3300,1336,93.97936477,31.57124283
3400,1336,98.80736474,31.90591287
3500,1336,103.6109061,32.50570297
3600,1336,108.3749364,33.39101601
3700,1336,113.0784906,34.59151348
3800,1336,117.7080971,36.15227163
3900,0,122.2343698,38.12999165
4000,0,126.6213826,40.59731915
4100,0,130.8338357,43.65290262
4200,0,134.8133923,47.41015072
4300,0,138.4858392,51.99673355
4400,0,141.7650137,57.55318611
4500,0,144.5345589,64.17667938
4600,0,146.6645279,71.87509295
4700,0,148.0242537,80.48237835
4800,0,148.5146311,89.64376698
4900,0,148.0937956,98.82665804
5000,0,146.7981248,107.4918078
5100,0,144.7228539,115.268886
5200,0,141.9977139,121.9764294
5300,0,138.7534155,127.6121055
5400,0,135.1079751,132.2685706
5500,0,131.149024,136.0850702
5600,0,126.9523218,139.1902571
5700,0,122.5774071,141.6992175
5800,1336,118.0603017,143.7118532
5900,1336,113.4376328,145.3024195
6000,1336,108.7355627,146.5297502
6100,1336,103.9789369,147.4374132
6200,1336,99.17785238,148.0583073
6300,1336,23.58521876,150.5226589
6400,1336,18.8403789,142.4332116
6500,1336,14.73722861,129.3075308
6600,1336,11.9581771,108.1988228
6700,1336,11.50630737,80.66337618
6800,1336,13.6153724,56.73613911
6900,1336,17.37288585,41.22563146
7000,1336,21.95284206,31.76008381
7100,1336,26.93670872,25.74587227
7200,1336,32.13375098,21.70629961
7300,1336,37.45962644,18.87149357
7400,1336,42.86384948,16.80914209
7500,1336,48.31955237,15.27152386
7600,1336,53.80796027,14.10414803
7700,1336,59.32361179,13.21831011
7800,1336,64.85684729,12.54740914
7900,1336,70.40037166,12.04618024
8000,1336,75.95497449,11.69289674
8100,1336,81.51537044,11.46575773
8200,1336,87.07907789,11.35350837
8300,1336,92.64188388,11.34756208
8400,1336,98.20571245,11.45413372
8500,1336,103.7662988,11.67515293
8600,1336,109.3193858,12.018026
8700,1336,114.8657078,12.50768706
8800,1009.3814,120.3996862,13.16836978
8900,0,125.9148237,14.03699186
9000,0,131.4073613,15.18320593
9100,0,136.8654269,16.69678582
9200,0,142.2731449,18.72497001
9300,0,147.6035149,21.50201907
9400,0,152.8128348,25.45544056
9500,0,157.8129465,31.33408081
9600,0,162.4240594,40.55250147
9700,0,166.2481445,55.67684558
9800,0,168.4723774,79.2354672
9900,0,168.1578274,106.9287843
10000,0,165.4722056,128.5173229
10100,0,161.4114622,141.9963569
10200,0,156.6854627,150.2701873
10300,0,151.6281157,155.6115506
10400,0,146.3842247,159.2417361
10500,0,141.0314571,161.8198642
10600,0,135.6123451,163.7140363
10700,0,130.144606,165.1304134
10800,0,124.6452314,166.2052109
10900,1336,119.1235166,167.0231881
11000,1336,113.5881389,167.6435617
11100,1336,108.0390404,168.0972355
11200,1336,102.4820736,168.4126604
11300,1336,96.92212971,168.6092258
11400,1336,91.35731803,168.6901042
11500,1336,85.79196622,168.6623158
11600,1336,80.22819879,168.5245417
11700,1336,74.67011217,168.2735533
11800,1336,69.1164987,167.889929
11900,1336,63.57237564,167.3565408
12000,1336,58.04334515,166.6465339
12100,1336,52.53148849,165.7062137
12200,1336,47.04618528,164.4703525
12300,1336,41.59891215,162.8330397
12400,1336,36.20882859,160.6321761
12500,1336,30.90379297,157.5772807
12600,1336,87.79607124,78.48647593
12700,1336,88.93753769,78.32754916
12800,1336,90.08532014,78.27929702
12900,1336,91.23608269,78.34317195
13000,1336,92.37524066,78.5183347
13100,1336,93.49203917,78.80347643
13200,1336,94.57271478,79.1943482
13300,1336,95.61339435,79.69176658
13400,1336,96.60064253,80.28999813
13500,1336,97.52233715,80.98118702
13600,1336,98.3743775,81.76503799
13700,1336,99.14543588,82.63195508
13800,1336,99.82756661,83.5739995
13900,1336,100.4125306,84.57857363
14000,1336,100.8966704,85.64306354
14100,1336,101.273323,86.75323703
14200,1336,101.5384165,87.89382762
14300,1336,101.6893755,89.06058768
14400,1336,101.7241794,90.23733872
14500,1336,101.6424434,91.41156406
14600,1336,101.4465784,92.56725946
14700,1336,101.1360817,93.69944339
14800,1336,100.7154993,94.79267523
14900,1336,100.191855,95.8329095
15000,1336,99.56611666,96.81584704
15100,1336,98.84706182,97.72885106
15200,1336,98.04536958,98.56136339
15300,1336,97.16306474,99.31022861
15400,1336,96.21202361,99.96658601
15500,1336,95.20168202,100.5249182
15600,1336,94.14564234,100.9800588
15700,1336,93.04673414,101.3300373
15800,1336,91.91909698,101.5711735
15900,1336,90.77715934,101.7021205
16000,1336,89.62416466,101.7213285
16100,1336,88.47472919,101.6287603
16200,1336,87.33967386,101.4251024
16300,1336,86.23301768,101.1137387
16400,1336,85.15855679,100.6936586
16500,1336,84.13007654,100.16967
16600,1336,83.16019987,99.54873083
16700,1336,82.25302327,98.83078349
16800,1336,81.42050536,98.02447389
16900,1336,80.67282386,97.14040819
17000,1336,80.01399018,96.18011628
17100,1336,79.45295269,95.15599347
17200,1336,78.99569099,94.07812675
17300,1336,78.64738772,92.96125873
17400,1336,78.4109664,91.80929596
17500,1336,78.28965024,90.6381252
17600,1336,78.28389026,89.4639115
17700,1336,78.39515094,88.29158342
17800,1336,78.62169039,87.13739773
17900,1336,78.96101816,86.0134858
18000,1336,79.40717428,84.93455747
18100,1336,79.95953794,83.90517172
18200,1336,80.61027272,82.93879007
18300,1336,81.34948249,82.04692062
18400,1336,82.1753698,81.23302736
18500,1336,83.07669855,80.50694119
18600,1336,84.04442225,79.87492739
18700,1336,85.06530655,79.34313853
18800,1336,86.13663736,78.91372828
18900,1336,156.41702,139.4772798
19000,0,151.8741366,146.5347652
19100,0,147.0037149,151.4819821
19200,0,141.93144,155.0598361
19300,0,136.7292392,157.7083186
19400,0,131.4398318,159.7061141
19500,0,126.0913639,161.2266753
19600,93.9738392,120.6987447,162.395526
19700,1336,115.2752979,163.286019
19800,1336,109.8314389,163.9476681
19900,1336,104.370306,164.4238333
20000,1336,98.89869508,164.7347401
20100,1336,93.42091969,164.8952338
20200,1336,87.94291104,164.9095807
20300,1336,82.46424969,164.7849047
20400,1336,76.99071876,164.5122742
20500,1336,71.52882046,164.0756767
20600,1336,66.07888655,163.4598246
20700,1336,60.64930028,162.6288772
20800,1336,55.24812209,161.5345526
20900,1336,49.88917133,160.1024952
21000,1336,44.58309928,158.2340519
21100,1336,39.35656236,155.7661283
21200,1336,34.25062902,152.4463176
21300,1336,29.32207558,147.884677
21400,1336,24.68348949,141.4330878
21500,1336,20.53727062,132.0749173
21600,1336,17.23392395,118.4877839
21700,1336,15.33486716,100.0520352
21800,1336,15.37013639,79.24806326
21900,1336,17.3296214,60.97298504
22000,1336,20.66947874,47.5508847
22100,1336,24.84019016,38.31577232
22200,1336,29.490414,31.95037661
22300,1336,34.42576743,27.43847619
22400,1336,39.5389002,24.15531627
22500,1336,44.76801173,21.71003027
22600,1336,50.0744652,19.86240757
22700,1336,55.43697473,18.44533148
22800,1336,60.83862827,17.35994467
22900,1336,66.26676784,16.53990591
23000,1336,71.71663075,15.92994422
23100,1336,77.18056227,15.50167797
23200,1336,82.65172321,15.23717193
23300,1336,88.12975766,15.11719228
23400,1336,93.60902393,15.13960152
23500,1336,99.08583225,15.30542236
23600,1336,104.5540388,15.62543099
23700,1336,110.0137536,16.10857359
23800,1336,115.4575676,16.78234272
23900,0,120.876328,17.68662199
24000,0,126.2662071,18.8688562
24100,0,131.6124773,20.41149236
24200,0,136.897243,22.43284359
24300,0,142.0901973,25.1171855
24400,0,147.1536119,28.74039344
24500,0,152.0112751,33.76098989
24600,0,156.530198,40.91809115
24700,0,160.4817699,51.32980515
24800,0,163.4476838,66.29596135
24900,0,164.8373812,85.79602212
25000,0,164.225859,106.3074652
25100,0,161.8188686,123.2601402
