time[s],flux[W/m2],phi[deg],theta[deg]
0.0,1336.0,23.58521876475638,150.52265886219888
100.0,1336.0,18.840378898714825,142.43321159569695
200.0,1336.0,14.737228605015677,129.30753075931483
300.0,1336.0,11.958177102625244,108.19882282354413
400.0,1336.0,11.50630736685385,80.66337617948952
500.0,1336.0,13.615372400958009,56.73613911006127
600.0,1336.0,17.37288584834882,41.225631456193454
700.0,1336.0,21.952842056742668,31.760083805255086
800.0,1336.0,26.936708718762915,25.74587227012271
900.0,1336.0,32.133750983749216,21.7062996107868
1000.0,1336.0,37.45962643798134,18.871493574456334
1100.0,1336.0,42.86384947884882,16.8091420925333
1200.0,1336.0,48.3195523724072,15.271523857157582
1300.0,1336.0,53.807960274761705,14.104148032378678
1400.0,1336.0,59.32361179383445,13.218310106501507
1500.0,1336.0,64.85684729197386,12.547409136541118
1600.0,1336.0,70.40037166047937,12.046180237292894
1700.0,1336.0,75.95497449066745,11.69289673580316
1800.0,1336.0,81.51537043917426,11.465757734071817
1900.0,1336.0,87.07907788611872,11.353508369068644
2000.0,1336.0,92.64188387783189,11.34756208084794
2100.0,1336.0,98.20571245366482,11.454133720364496
2200.0,1336.0,103.76629883696351,11.675152926180166
2300.0,1336.0,109.31938583026235,12.018026003696978
2400.0,1336.0,114.8657077781937,12.507687056855906
2500.0,1009.3814,120.39968624906044,13.168369775774915
2600.0,0.0,125.91482370684312,14.03699185997313
2700.0,0.0,131.40736129029207,15.183205933343327
2800.0,0.0,136.86542685278627,16.6967858219661
2900.0,0.0,142.27314493007304,18.724970010359463
3000.0,0.0,147.60351491567428,21.502019069513356
3100.0,0.0,152.81283481735963,25.455440563503593
3200.0,0.0,157.8129464516301,31.33408080709897
3300.0,0.0,162.4240594322965,40.55250147185337
3400.0,0.0,166.24814453733478,55.67684557721219
3500.0,0.0,168.47237742770213,79.23546719999906
3600.0,0.0,168.15782741467763,106.9287843432255
3700.0,0.0,165.47220562785304,128.51732285380928
3800.0,0.0,161.41146220867515,141.9963569074157
3900.0,0.0,156.6854627299115,150.27018732970538
4000.0,0.0,151.6281157078425,155.6115505711551
4100.0,0.0,146.38422472753598,159.24173609188355
4200.0,0.0,141.03145713965054,161.819864162787
4300.0,0.0,135.61234514433357,163.7140363118332
4400.0,0.0,130.14460599190969,165.130413368461
4500.0,0.0,124.64523143281953,166.20521087329453
4600.0,1336.0,119.12351662925924,167.02318810446965
4700.0,1336.0,113.58813886110819,167.64356173885582
4800.0,1336.0,108.03904039836804,168.09723545448654
4900.0,1336.0,102.48207362194208,168.41266037453556
5000.0,1336.0,96.9221297106499,168.6092258213683
5100.0,1336.0,91.35731803245818,168.6901042235925
5200.0,1336.0,85.79196622325045,168.66231581297444
5300.0,1336.0,80.22819878503645,168.5245417371706
5400.0,1336.0,74.67011217451977,168.2735533299478
5500.0,1336.0,69.1164986971904,167.8899290256531
5600.0,1336.0,63.5723756404216,167.35654081504998
5700.0,1336.0,58.04334515368444,166.64653392450154
5800.0,1336.0,52.5314884894237,165.70621368552895
5900.0,1336.0,47.04618528453286,164.47035252504088
6000.0,1336.0,41.59891215357715,162.83303972125188
6100.0,1336.0,36.20882859383648,160.63217612140576
6200.0,1336.0,30.903792970850745,157.57728066957694
6300.0,1336.0,23.58521876475638,150.52265886219888
6400.0,1336.0,18.840378898714825,142.43321159569695
6500.0,1336.0,14.737228605015677,129.30753075931483
6600.0,1336.0,11.958177102625244,108.19882282354413
6700.0,1336.0,11.50630736685385,80.66337617948952
6800.0,1336.0,13.615372400958009,56.73613911006127
6900.0,1336.0,17.37288584834882,41.225631456193454
7000.0,1336.0,21.952842056742668,31.760083805255086
7100.0,1336.0,26.936708718762915,25.74587227012271
7200.0,1336.0,32.133750983749216,21.7062996107868
7300.0,1336.0,37.45962643798134,18.871493574456334
7400.0,1336.0,42.86384947884882,16.8091420925333
7500.0,1336.0,48.3195523724072,15.271523857157582
7600.0,1336.0,53.807960274761705,14.104148032378678
7700.0,1336.0,59.32361179383445,13.218310106501507
7800.0,1336.0,64.85684729197386,12.547409136541118
7900.0,1336.0,70.40037166047937,12.046180237292894
