time[s],flux[W/m2],phi[deg],theta[deg]
0,1336,88.16543612,31.57127654
100,1336,93.0013329,31.60142225
200,1336,97.82908611,31.88456648
300,1336,102.6313171,32.4295214
400,1336,107.4010011,33.25575208
500,1336,112.1174275,34.3914069
600,1336,116.7568945,35.87539617
700,0,121.3022245,37.7645777
800,0,125.7186024,40.1288105
900,0,129.9627627,43.05561151
1000,0,133.9894833,46.66049012
1100,0,137.727493,51.06962549
1200,0,141.0894205,56.41691877
1300,0,143.9643475,62.80651825
1400,0,146.2298556,70.28019156
1500,0,147.7521473,78.71304147
1600,0,148.4221093,87.77248819
1700,0,148.1862176,96.9726354
1800,0,147.063317,105.764243
1900,0,145.1417922,113.7208765
2000,0,142.542902,120.6394931
2100,0,139.3995836,126.48095
2200,0,135.8304055,131.3256252
2300,0,131.936369,135.2981429
2400,0,127.7878845,138.5380588
2500,0,123.4471552,141.1619253
2600,1336,118.9632016,143.268405
2700,1336,114.3637352,144.9406367
2800,1336,109.6798053,146.2388407
2900,1336,104.9373007,147.2092152
3000,1336,100.1467695,147.8871314
3100,1336,95.3276593,148.2949115
3200,1336,90.49787884,148.4462869
3300,1336,85.66285437,148.3463689
3400,1336,80.83961421,147.9916979
3500,1336,76.04195202,147.3704132
3600,1336,71.2888916,146.4623263
3700,1336,66.59040756,145.2341948
3800,1336,61.97147974,143.6427243
3900,1336,57.46186367,141.6311097
4000,1336,53.08760805,139.119894
4100,1336,48.89533925,136.0147142
4200,1336,44.94409857,132.2028635
4300,1336,41.30048508,127.5463928
4400,1336,38.06105127,121.916994
4500,1336,35.34043364,115.2200799
4600,1336,33.27009868,107.4655784
4700,1336,31.9750835,98.8148692
4800,1336,31.55423053,89.65560186
4900,1336,32.04152174,80.52420715
5000,1336,33.39773787,71.92855567
5100,1336,35.52234984,64.24315241
5200,1336,38.28350963,57.63212425
5300,1336,41.55642485,52.07841391
5400,1336,45.22589396,47.48863094
5500,1336,49.20019263,43.73063442
5600,1336,53.40429179,40.67560547
5700,1336,57.79014523,38.20413118
5800,1336,62.3122583,36.2244713
5900,1336,66.93418935,34.66292912
6000,1336,71.63767069,33.45968065
6100,1336,76.39815532,32.57305574
6200,1336,81.19436858,31.97254244
6300,1336,156.5045636,30.38718405
6400,0,161.1923632,38.72123703
