time[s],flux[W/m2],phi[deg],theta[deg]
0.0,1336.0,156.5045636462818,30.387184053815503
100.0,0.0,161.19236323888865,38.721237032616834
200.0,0.0,165.20384101585475,52.15451528166363
300.0,0.0,167.85149151436684,73.33771341065827
400.0,0.0,168.17572503000736,100.298091857282
500.0,0.0,166.01529751420762,123.46107941159346
600.0,0.0,162.2595408289583,138.58792941110025
700.0,0.0,157.695349983719,147.92293075884098
800.0,0.0,152.72797351732535,153.90462564171932
900.0,0.0,147.5454717293738,157.94554982592504
1000.0,0.0,142.23185134120652,160.7922667422663
1100.0,0.0,136.8380910703961,162.86872751968247
1200.0,0.0,131.39146369763887,164.41957440818157
1300.0,0.0,125.91115937001472,165.59830013392192
1400.0,1071.9062,120.40272282170335,166.4931179694262
1500.0,1336.0,114.87609992860584,167.17067024064735
1600.0,1336.0,109.33881591989558,167.67635207380368
1700.0,1336.0,103.79005871667538,168.03175478421258
1800.0,1336.0,98.23530129988815,168.2587687559599
1900.0,1336.0,92.67924775058178,168.37185503232007
2000.0,1336.0,87.11990514733799,168.36977185621055
2100.0,1336.0,81.56169266411143,168.25567319139216
2200.0,1336.0,76.00693185317867,168.02410873173596
2300.0,1336.0,70.46006439279437,167.6672750424436
2400.0,1336.0,64.92042340355884,167.15927939302097
2500.0,1336.0,59.393862430536885,166.4749462552986
2600.0,1336.0,53.887216710995105,165.57598863101487
2700.0,1336.0,48.404607120031876,164.39024086404618
2800.0,1336.0,42.95859519033173,162.82470849382622
2900.0,1336.0,37.56721275148157,160.73307566754036
3000.0,1336.0,32.25571742781266,157.8548572727443
3100.0,1336.0,27.074143052340784,153.76745222463785
3200.0,1336.0,22.1150040087082,147.70747532667104
3300.0,1336.0,17.56742538170277,138.21361627691334
3400.0,1336.0,13.845043281863402,122.80890618444535
3500.0,1336.0,11.760053407745643,99.3167725633927
3600.0,1336.0,12.180700022510456,72.35506979267369
3700.0,1336.0,14.901548207825321,51.433576664432266
3800.0,1336.0,18.954755731193423,38.244149520363344
3900.0,1336.0,23.661651560040543,30.05694434843953
4000.0,1336.0,28.70721958817016,24.73897667867035
4100.0,1336.0,33.93826047590173,21.1029015731202
4200.0,1336.0,39.27738003174484,18.50745375865804
4300.0,1336.0,44.69006088131792,16.603305546004897
4400.0,1336.0,50.14983508235564,15.174177860561722
4500.0,1336.0,55.6421428287984,14.08874326270138
4600.0,1336.0,61.15499636332261,13.258995080541977
4700.0,1336.0,66.68679283270694,12.635986928096754
4800.0,1336.0,72.23025213281282,12.17858409362344
4900.0,1336.0,77.77952949351192,11.858407802419672
5000.0,1336.0,83.33625836108831,11.665763235169642
5100.0,1336.0,88.89566352691082,11.587962716335358
5200.0,1336.0,94.4534448559105,11.61798792296192
5300.0,1336.0,100.0115152696522,11.763983142749261
5400.0,1336.0,105.5654068262622,12.029704515703697
5500.0,1336.0,111.11242259809333,12.428460022719975
5600.0,1336.0,116.6475407823999,12.977597421403662
5700.0,0.0,122.17011015240172,13.716669580694239
5800.0,0.0,127.67257934167239,14.689645295437595
5900.0,0.0,133.1453712803907,15.963046330606234
6000.0,0.0,138.5792796355639,17.655893176694732
6100.0,0.0,143.95354195086284,19.93771578386571
6200.0,0.0,149.23516698290334,23.089590564893875
6300.0,1336.0,156.5045636462818,30.387184053815503
6400.0,0.0,161.19236323888865,38.721237032616834
6500.0,0.0,165.20384101585475,52.15451528166363
6600.0,0.0,167.85149151436684,73.33771341065827
6700.0,0.0,168.17572503000736,100.298091857282
6800.0,0.0,166.01529751420762,123.46107941159346
6900.0,0.0,162.2595408289583,138.58792941110025
7000.0,0.0,157.695349983719,147.92293075884098
7100.0,0.0,152.72797351732535,153.90462564171932
7200.0,0.0,147.5454717293738,157.94554982592504
7300.0,0.0,142.23185134120652,160.7922667422663
7400.0,0.0,136.8380910703961,162.86872751968247
7500.0,0.0,131.39146369763887,164.41957440818157
7600.0,0.0,125.91115937001472,165.59830013392192
7700.0,1071.9062,120.40272282170335,166.4931179694262
7800.0,1336.0,114.87609992860584,167.17067024064735
7900.0,1336.0,109.33881591989558,167.67635207380368
8000.0,1336.0,103.79005871667538,168.03175478421258
8100.0,1336.0,98.23530129988815,168.2587687559599
8200.0,1336.0,92.67924775058178,168.37185503232007
8300.0,1336.0,87.11990514733799,168.36977185621055
8400.0,1336.0,81.56169266411143,168.25567319139216
8500.0,1336.0,76.00693185317867,168.02410873173596
8600.0,1336.0,70.46006439279437,167.6672750424436
8700.0,1336.0,64.92042340355884,167.15927939302097
8800.0,1336.0,59.393862430536885,166.4749462552986
8900.0,1336.0,53.887216710995105,165.57598863101487
9000.0,1336.0,48.404607120031876,164.39024086404618
9100.0,1336.0,42.95859519033173,162.82470849382622
9200.0,1336.0,37.56721275148157,160.73307566754036
9300.0,1336.0,32.25571742781266,157.8548572727443
9400.0,1336.0,27.074143052340784,153.76745222463785
9500.0,1336.0,22.1150040087082,147.70747532667104
9600.0,1336.0,17.56742538170277,138.21361627691334
9700.0,1336.0,13.845043281863402,122.80890618444535
9800.0,1336.0,11.760053407745643,99.3167725633927
9900.0,1336.0,12.180700022510456,72.35506979267369
10000.0,1336.0,14.901548207825321,51.433576664432266
10100.0,1336.0,18.954755731193423,38.244149520363344
10200.0,1336.0,23.661651560040543,30.05694434843953
10300.0,1336.0,28.70721958817016,24.73897667867035
10400.0,1336.0,33.93826047590173,21.1029015731202
10500.0,1336.0,39.27738003174484,18.50745375865804
10600.0,1336.0,44.69006088131792,16.603305546004897
10700.0,1336.0,50.14983508235564,15.174177860561722
10800.0,1336.0,55.6421428287984,14.08874326270138
10900.0,1336.0,61.15499636332261,13.258995080541977
11000.0,1336.0,66.68679283270694,12.635986928096754
11100.0,1336.0,72.23025213281282,12.17858409362344
11200.0,1336.0,77.77952949351192,11.858407802419672
11300.0,1336.0,83.33625836108831,11.665763235169642
11400.0,1336.0,88.89566352691082,11.587962716335358
11500.0,1336.0,94.4534448559105,11.61798792296192
11600.0,1336.0,100.0115152696522,11.763983142749261
11700.0,1336.0,105.5654068262622,12.029704515703697
11800.0,1336.0,111.11242259809333,12.428460022719975
11900.0,1336.0,116.6475407823999,12.977597421403662
12000.0,0.0,122.17011015240172,13.716669580694239
12100.0,0.0,127.67257934167239,14.689645295437595
12200.0,0.0,133.1453712803907,15.963046330606234
12300.0,0.0,138.5792796355639,17.655893176694732
12400.0,0.0,143.95354195086284,19.93771578386571
12500.0,0.0,149.23516698290334,23.089590564893875
12600.0,1336.0,156.5045636462818,30.387184053815503
12700.0,0.0,161.19236323888865,38.721237032616834
12800.0,0.0,165.20384101585475,52.15451528166363
12900.0,0.0,167.85149151436684,73.33771341065827
13000.0,0.0,168.17572503000736,100.298091857282
13100.0,0.0,166.01529751420762,123.46107941159346
13200.0,0.0,162.2595408289583,138.58792941110025
13300.0,0.0,157.695349983719,147.92293075884098
13400.0,0.0,152.72797351732535,153.90462564171932
13500.0,0.0,147.5454717293738,157.94554982592504
13600.0,0.0,142.23185134120652,160.7922667422663
13700.0,0.0,136.8380910703961,162.86872751968247
13800.0,0.0,131.39146369763887,164.41957440818157
13900.0,0.0,125.91115937001472,165.59830013392192
14000.0,1071.9062,120.40272282170335,166.4931179694262
14100.0,1336.0,114.87609992860584,167.17067024064735
14200.0,1336.0,109.33881591989558,167.67635207380368
14300.0,1336.0,103.79005871667538,168.03175478421258
14400.0,1336.0,98.23530129988815,168.2587687559599
14500.0,1336.0,92.67924775058178,168.37185503232007
14600.0,1336.0,87.11990514733799,168.36977185621055
14700.0,1336.0,81.56169266411143,168.25567319139216
14800.0,1336.0,76.00693185317867,168.02410873173596
14900.0,1336.0,70.46006439279437,167.6672750424436
15000.0,1336.0,64.92042340355884,167.15927939302097
15100.0,1336.0,59.393862430536885,166.4749462552986
15200.0,1336.0,53.887216710995105,165.57598863101487
15300.0,1336.0,48.404607120031876,164.39024086404618
15400.0,1336.0,42.95859519033173,162.82470849382622
15500.0,1336.0,37.56721275148157,160.73307566754036
15600.0,1336.0,32.25571742781266,157.8548572727443
15700.0,1336.0,27.074143052340784,153.76745222463785
15800.0,1336.0,22.1150040087082,147.70747532667104
15900.0,1336.0,17.56742538170277,138.21361627691334
16000.0,1336.0,13.845043281863402,122.80890618444535
16100.0,1336.0,11.760053407745643,99.3167725633927
16200.0,1336.0,12.180700022510456,72.35506979267369
16300.0,1336.0,14.901548207825321,51.433576664432266
16400.0,1336.0,18.954755731193423,38.244149520363344
16500.0,1336.0,23.661651560040543,30.05694434843953
16600.0,1336.0,28.70721958817016,24.73897667867035
16700.0,1336.0,33.93826047590173,21.1029015731202
16800.0,1336.0,39.27738003174484,18.50745375865804
16900.0,1336.0,44.69006088131792,16.603305546004897
17000.0,1336.0,50.14983508235564,15.174177860561722
17100.0,1336.0,55.6421428287984,14.08874326270138
17200.0,1336.0,61.15499636332261,13.258995080541977
17300.0,1336.0,66.68679283270694,12.635986928096754
17400.0,1336.0,72.23025213281282,12.17858409362344
17500.0,1336.0,77.77952949351192,11.858407802419672
17600.0,1336.0,83.33625836108831,11.665763235169642
17700.0,1336.0,88.89566352691082,11.587962716335358
17800.0,1336.0,94.4534448559105,11.61798792296192
17900.0,1336.0,100.0115152696522,11.763983142749261
18000.0,1336.0,105.5654068262622,12.029704515703697
18100.0,1336.0,111.11242259809333,12.428460022719975
18200.0,1336.0,116.6475407823999,12.977597421403662
18300.0,0.0,122.17011015240172,13.716669580694239
