,Flux_x(LVLH),Flux_y(LVLH),Flux_z(LVLH),shadow function,SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s]
0,-0.5699152454,-0.821639566,-0.01024873463,1,-150000000000,-1530000000,-664000000,4.53E-10,7406000,0,-0.5735768745,3.52E-17,0.8191517375
1,-0.5699196075,-0.8216433883,-0.00968418377,1,-150000000000,-1530000000,-665000000,-4207.929312,7405996.366,6009.539017,-0.5735765931,-0.0009905887897,0.8191513356
2,-0.569928888,-0.8216434112,-0.009119623732,1,-150000000000,-1530000000,-665000000,-8415.854494,7405985.465,12019.07214,-0.5735757489,-0.001981176607,0.8191501298
3,-0.5699376091,-0.8216434341,-0.008555054761,1,-150000000000,-1530000000,-665000000,-12623.77142,7405967.297,18028.59346,-0.5735743418,-0.002971762481,0.8191481204
4,-0.569945771,-0.821643457,-0.007990477412,1,-150000000000,-1530000000,-665000000,-16831.67596,7405941.862,24038.0971,-0.5735723719,-0.003962345438,0.819145307
5,-0.5699533736,-0.8216434799,-0.00742589224,1,-150000000000,-1530000000,-665000000,-21039.56398,7405909.16,30047.57715,-0.5735698391,-0.004952924508,0.8191416899
6,-0.5699604169,-0.8216435028,-0.006861299799,1,-150000000000,-1530000000,-665000000,-25247.43135,7405869.19,36057.02771,-0.5735667436,-0.005943498718,0.819137269
7,-0.569966901,-0.8216435257,-0.006296700641,1,-150000000000,-1530000000,-665000000,-29455.27395,7405821.953,42066.44289,-0.5735630852,-0.006934067094,0.8191320443
8,-0.5699728258,-0.8216435486,-0.005732095321,1,-150000000000,-1530000000,-665000000,-33663.08765,7405767.449,48075.81679,-0.573558864,-0.007924628668,0.8191260158
9,-0.5699781912,-0.8216435716,-0.005167484394,1,-150000000000,-1530000000,-665000000,-37870.86831,7405705.678,54085.14352,-0.5735540799,-0.008915182464,0.8191191836
10,-0.5699829974,-0.8216435945,-0.004602868412,1,-150000000000,-1530000000,-665000000,-42078.61182,7405636.64,60094.41718,-0.5735487331,-0.009905727512,0.8191115476
11,-0.5699872442,-0.8216436174,-0.004038247932,1,-150000000000,-1530000000,-665000000,-46286.31403,7405560.335,66103.63187,-0.5735428234,-0.01089626284,0.8191031078
12,-0.5699909318,-0.8216436403,-0.003473623506,1,-150000000000,-1530000000,-665000000,-50493.97082,7405476.764,72112.78169,-0.573536351,-0.01188678748,0.8190938642
