,Flux_x(LVLH),Flux_y(LVLH),Flux_z(LVLH),shadow function,SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s]
0,-0.8518835435,-0.5223102809,-0.03855384393,1,-5840000000,139000000000,60400000000,7406000,0,0,0,0.5735768745,0.8191517375
1,-0.8519213032,-0.5223103024,-0.03770996092,1,-5840000000,139000000000,60400000000,7405996.366,4207.929312,6009.539017,-0.0009905887894,0.5735765931,0.8191513356
2,-0.8519582271,-0.5223103239,-0.03686604088,1,-5840000000,139000000000,60400000000,7405985.465,8415.854494,12019.07214,-0.001981176606,0.5735757489,0.8191501298
3,-0.8519943149,-0.5223103455,-0.03602208464,1,-5840000000,139000000000,60400000000,7405967.297,12623.77142,18028.59346,-0.00297176248,0.5735743418,0.8191481204
4,-0.8520295667,-0.522310367,-0.03517809303,1,-5840000000,139000000000,60400000000,7405941.862,16831.67596,24038.0971,-0.003962345437,0.5735723719,0.819145307
5,-0.8520639824,-0.5223103885,-0.03433406688,1,-5840000000,139000000000,60400000000,7405909.16,21039.56398,30047.57715,-0.004952924506,0.5735698391,0.8191416899
6,-0.852097562,-0.5223104101,-0.03349000703,1,-5840000000,139000000000,60400000000,7405869.19,25247.43135,36057.02771,-0.005943498715,0.5735667436,0.819137269
7,-0.8521303055,-0.5223104316,-0.03264591428,1,-5840000000,139000000000,60400000000,7405821.953,29455.27395,42066.44289,-0.006934067091,0.5735630852,0.8191320443
8,-0.8521622129,-0.5223104531,-0.03180178948,1,-5840000000,139000000000,60400000000,7405767.449,33663.08765,48075.81679,-0.007924628664,0.573558864,0.8191260158
9,-0.852193284,-0.5223104746,-0.03095763346,1,-5840000000,139000000000,60400000000,7405705.678,37870.86831,54085.14352,-0.008915182461,0.57355408,0.8191191835
