,Flux_x(LVLH),Flux_y(LVLH),Flux_z(LVLH),shadow function,SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s]
0,0.3071563753,-0.2542181526,0.9170758377,1,4720000000,-135000000000,-58500000000,-1.36E-09,-7406000,0,0.5735768745,-1.05E-16,0.8191517375
1,0.3080647148,-0.2542181486,0.9167711082,1,4720000000,-135000000000,-58500000000,4207.929312,-7405996.366,6009.539017,0.5735765931,0.0009905888064,0.8191513356
2,0.3089727519,-0.2542181448,0.916465479,1,4720000000,-135000000000,-58500000000,8415.854495,-7405985.465,12019.07214,0.5735757489,0.001981176641,0.8191501298
3,0.3098804858,-0.2542181408,0.9161589505,1,4720000000,-135000000000,-58500000000,12623.77142,-7405967.297,18028.59346,0.5735743418,0.002971762531,0.8191481204
4,0.3107879156,-0.2542181369,0.9158515229,1,4720000000,-135000000000,-58500000000,16831.67596,-7405941.862,24038.0971,0.5735723718,0.003962345505,0.8191453071
5,0.3116950404,-0.254218133,0.9155431966,1,4720000000,-135000000000,-58500000000,21039.56398,-7405909.16,30047.57715,0.5735698391,0.004952924592,0.8191416899
6,0.3126018593,-0.254218129,0.9152339717,1,4720000000,-135000000000,-58500000000,25247.43135,-7405869.19,36057.02771,0.5735667436,0.005943498817,0.819137269
7,0.3135083714,-0.254218125,0.9149238487,1,4720000000,-135000000000,-58500000000,29455.27395,-7405821.953,42066.44289,0.5735630852,0.006934067212,0.8191320443
8,0.3144145758,-0.2542181211,0.9146128278,1,4720000000,-135000000000,-58500000000,33663.08765,-7405767.449,48075.8168,0.573558864,0.0079246288,0.8191260158
9,0.3153204717,-0.2542181171,0.9143009094,1,4720000000,-135000000000,-58500000000,37870.86832,-7405705.678,54085.14352,0.57355408,0.008915182615,0.8191191835
10,0.3162260581,-0.2542181131,0.9139880937,1,4720000000,-135000000000,-58500000000,42078.61182,-7405636.64,60094.41718,0.5735487332,0.009905727679,0.8191115475
11,0.3171313341,-0.2542181091,0.9136743811,1,4720000000,-135000000000,-58500000000,46286.31403,-7405560.335,66103.63187,0.5735428235,0.01089626302,0.8191031077
12,0.318036299,-0.254218105,0.9133597718,1,4720000000,-135000000000,-58500000000,50493.97083,-7405476.764,72112.78169,0.573536351,0.01188678768,0.8190938642
13,0.3189409517,-0.254218101,0.9130442662,1,4720000000,-135000000000,-58500000000,54701.57807,-7405385.925,78121.86075,0.5735293159,0.01287730067,0.8190838168
14,0.3198452914,-0.2542180969,0.9127278646,1,4720000000,-135000000000,-58500000000,58909.13164,-7405287.82,84130.86316,0.5735217179,0.01386780102,0.8190729657
15,0.3207493171,-0.2542180929,0.9124105673,1,4720000000,-135000000000,-58500000000,63116.62741,-7405182.449,90139.783,0.5735135571,0.01485828777,0.819061311
16,0.3216530281,-0.2542180888,0.9120923745,1,4720000000,-135000000000,-58500000000,67324.06124,-7405069.811,96148.6144,0.5735048336,0.01584875992,0.8190488524
17,0.3225564235,-0.2542180847,0.9117732867,1,4720000000,-135000000000,-58500000000,71531.429,-7404949.907,102157.3515,0.5734955472,0.01683921654,0.8190355903
18,0.3234595023,-0.2542180806,0.9114533041,1,4720000000,-135000000000,-58500000000,75738.72658,-7404822.736,108165.9883,0.5734856982,0.01782965663,0.8190215243
19,0.3243622636,-0.2542180765,0.9111324271,1,4720000000,-135000000000,-58500000000,79945.94984,-7404688.299,114174.5189,0.5734752863,0.01882007922,0.8190066548
20,0.3252647066,-0.2542180724,0.9108106559,1,4720000000,-135000000000,-58500000000,84153.09464,-7404546.597,120182.9376,0.5734643118,0.01981048335,0.8189909815
21,0.3261668304,-0.2542180683,0.9104879909,1,4720000000,-135000000000,-58500000000,88360.15687,-7404397.628,126191.2383,0.5734527746,0.02080086804,0.8189745046
22,0.3270686341,-0.2542180641,0.9101644324,1,4720000000,-135000000000,-58500000000,92567.1324,-7404241.394,132199.4151,0.5734406746,0.02179123231,0.8189572241
23,0.3279701168,-0.25421806,0.9098399807,1,4720000000,-135000000000,-58500000000,96774.01709,-7404077.894,138207.4623,0.5734280119,0.0227815752,0.81893914
24,0.3288712777,-0.2542180558,0.9095146361,1,4720000000,-135000000000,-58500000000,100980.8068,-7403907.129,144215.3738,0.5734147866,0.02377189574,0.8189202522
25,0.3297721158,-0.2542180516,0.909188399,1,4720000000,-135000000000,-58500000000,105187.4975,-7403729.099,150223.1438,0.5734009985,0.02476219295,0.8189005609
26,0.3306726302,-0.2542180475,0.9088612696,1,4720000000,-135000000000,-58500000000,109394.0849,-7403543.804,156230.7664,0.5733866478,0.02575246587,0.818880066
27,0.3315728201,-0.2542180433,0.9085332483,1,4720000000,-135000000000,-58500000000,113600.565,-7403351.244,162238.2357,0.5733717345,0.02674271351,0.8188587676
28,0.3324726847,-0.254218039,0.9082043355,1,4720000000,-135000000000,-58500000000,117806.9336,-7403151.419,168245.5459,0.5733562585,0.02773293491,0.8188366657
29,0.3333722229,-0.2542180349,0.9078745313,1,4720000000,-135000000000,-58500000000,122013.1866,-7402944.33,174252.6909,0.57334022,0.0287231291,0.8188137603
30,0.3342714339,-0.2542180306,0.9075438362,1,4720000000,-135000000000,-58500000000,126219.3199,-7402729.976,180259.6649,0.5733236188,0.0297132951,0.8187900514
31,0.335170317,-0.2542180263,0.9072122505,1,4720000000,-135000000000,-58500000000,130425.3293,-7402508.359,186266.462,0.573306455,0.03070343194,0.8187655391
32,0.336068871,-0.2542180221,0.9068797745,1,4720000000,-135000000000,-58500000000,134631.2108,-7402279.477,192273.0764,0.5732887287,0.03169353867,0.8187402232
33,0.3369670953,-0.2542180178,0.9065464086,1,4720000000,-135000000000,-58500000000,138836.9601,-7402043.332,198279.5021,0.5732704398,0.03268361428,0.8187141041
34,0.3378649888,-0.2542180136,0.906212153,1,4720000000,-135000000000,-58500000000,143042.5732,-7401799.924,204285.7332,0.5732515884,0.03367365783,0.8186871815
35,0.3387625508,-0.2542180093,0.905877008,1,4720000000,-135000000000,-58500000000,147248.0459,-7401549.253,210291.7639,0.5732321745,0.03466366833,0.8186594556
